C,C_eff,padded,pad_added,divisible_256,B,T,dtype,device,avg_ms,est_TFLOPS,error
4656,4656,0,0,0,4,1,bfloat16,cuda,0.526464064915975,2.6353432199051134,
4656,4864,1,208,0,4,1,bfloat16,cuda,0.5569943646589915,2.7184184258794137,
4664,4664,0,0,0,4,1,bfloat16,cuda,0.5291541318098704,2.630963759535046,
4664,4864,1,200,0,4,1,bfloat16,cuda,0.5576301296552022,2.715319103966344,
4672,4672,0,0,0,4,1,bfloat16,cuda,0.5288484354813894,2.6415231326691906,
4672,4864,1,192,0,4,1,bfloat16,cuda,0.5615535994370778,2.6963476781518874,
4680,4680,0,0,0,4,1,bfloat16,cuda,0.5341598709424337,2.624221092323625,
4680,4864,1,184,0,4,1,bfloat16,cuda,0.5604716996351878,2.7015525404504084,
4688,4688,0,0,0,4,1,bfloat16,cuda,0.5308324972788493,2.649705930232699,
4688,4864,1,176,0,4,1,bfloat16,cuda,0.5597504635651906,2.705033479304402,
4696,4696,0,0,0,4,1,bfloat16,cuda,0.535503230492274,2.6355669651191063,
4696,4864,1,168,0,4,1,bfloat16,cuda,0.5566298981507619,2.720198374234468,
4704,4704,0,0,0,4,1,bfloat16,cuda,0.5315885663032531,2.6640291266011253,
4704,4864,1,160,0,4,1,bfloat16,cuda,0.5634440362453461,2.6873010389636662,
4712,4712,0,0,0,4,1,bfloat16,cuda,0.5349375585714976,2.656363145998985,
4712,4864,1,152,0,4,1,bfloat16,cuda,0.557126498222351,2.7177736992069974,
4720,4720,0,0,0,4,1,bfloat16,cuda,0.5385913332303365,2.647308844441112,
4720,4864,1,144,0,4,1,bfloat16,cuda,0.560828697681427,2.6998328549515382,
4728,4728,0,0,0,4,1,bfloat16,cuda,0.540048501888911,2.649123126897014,
4728,4864,1,136,0,4,1,bfloat16,cuda,0.55922030210495,2.707597950755081,
4736,4736,0,0,0,4,1,bfloat16,cuda,0.5453987320264181,2.6320203178075356,
4736,4864,1,128,0,4,1,bfloat16,cuda,0.5589004377524058,2.70914753634666,
4744,4744,0,0,0,4,1,bfloat16,cuda,0.5412879347801208,2.6609761855953677,
4744,4864,1,120,0,4,1,bfloat16,cuda,0.5578401347001394,2.7142968922698807,
4752,4752,0,0,0,4,1,bfloat16,cuda,0.5430216312408447,2.6614340439764317,
4752,4864,1,112,0,4,1,bfloat16,cuda,0.5579810976982117,2.7136111783108037,
4760,4760,0,0,0,4,1,bfloat16,cuda,0.5434226016203563,2.6684322582023436,
4760,4864,1,104,0,4,1,bfloat16,cuda,0.55564643740654,2.725012961600568,
4768,4768,0,0,0,4,1,bfloat16,cuda,0.5415265997250874,2.686783505627665,
4768,4864,1,96,0,4,1,bfloat16,cuda,0.5610229015350342,2.6988982800115626,
4776,4776,0,0,0,4,1,bfloat16,cuda,0.5530156334241231,2.639801075714616,
4776,4864,1,88,0,4,1,bfloat16,cuda,0.5602860033512116,2.7024479193546247,
4784,4784,0,0,0,4,1,bfloat16,cuda,0.5482737978299459,2.6715593373191067,
4784,4864,1,80,0,4,1,bfloat16,cuda,0.5615255653858184,2.69648229276907,
4792,4792,0,0,0,4,1,bfloat16,cuda,0.5534177283445995,2.655586947668012,
4792,4864,1,72,0,4,1,bfloat16,cuda,0.5576376636823018,2.715282418338658,
4800,4800,0,0,0,4,1,bfloat16,cuda,0.5496220310529073,2.682861888151017,
4800,4864,1,64,0,4,1,bfloat16,cuda,0.5569450954596201,2.718658906135891,
4808,4808,0,0,0,4,1,bfloat16,cuda,0.556859803199768,2.6568254478035134,
4808,4864,1,56,0,4,1,bfloat16,cuda,0.5587821364402771,2.7097210974671744,
4816,4816,0,0,0,4,1,bfloat16,cuda,0.5552259902159373,2.6735181892740423,
4816,4864,1,48,0,4,1,bfloat16,cuda,0.5592468619346619,2.7074693611368015,
4824,4824,0,0,0,4,1,bfloat16,cuda,0.5632894277572632,2.6440092616859805,
4824,4864,1,40,0,4,1,bfloat16,cuda,0.5589437007904052,2.708937844471351,
4832,4832,0,0,0,4,1,bfloat16,cuda,0.5580760697523753,2.6775674804745377,
4832,4864,1,32,0,4,1,bfloat16,cuda,0.5593429307142893,2.7070043453779165,
4840,4840,0,0,0,4,1,bfloat16,cuda,0.5660668313503265,2.648518367387178,
4840,4864,1,24,0,4,1,bfloat16,cuda,0.5604145308335622,2.7018281302375553,
4848,4848,0,0,0,4,1,bfloat16,cuda,0.5626746654510498,2.673300840360758,
4848,4864,1,16,0,4,1,bfloat16,cuda,0.5561281661192576,2.7226525039469096,
4856,4856,0,0,0,4,1,bfloat16,cuda,0.5665175000826518,2.6639373078145345,
4856,4864,1,8,0,4,1,bfloat16,cuda,0.5554197291533153,2.726125242810817,
4864,4864,0,0,1,4,1,bfloat16,cuda,0.5581163307030995,2.712953663428059,
4864,4864,1,0,1,4,1,bfloat16,cuda,0.5578737358252207,2.7141334082706745,
4872,4872,0,0,0,4,1,bfloat16,cuda,0.5713877995808919,2.6586647056767188,
4872,5120,1,248,0,4,1,bfloat16,cuda,0.5903195321559906,2.8420567313308305,
4880,4880,0,0,0,4,1,bfloat16,cuda,0.5682542701562245,2.682112005213772,
4880,5120,1,240,0,4,1,bfloat16,cuda,0.5922115683555603,2.832976742853334,
4888,4888,0,0,0,4,1,bfloat16,cuda,0.5741386671861013,2.6633336219877877,
4888,5120,1,232,0,4,1,bfloat16,cuda,0.589098866780599,2.847945726272874,
4896,4896,0,0,0,4,1,bfloat16,cuda,0.5689778705437978,2.6962950642241337,
4896,5120,1,224,0,4,1,bfloat16,cuda,0.5900660951932272,2.8432774119153574,
4904,4904,0,0,0,4,1,bfloat16,cuda,0.5782284339269003,2.661836972539091,
4904,5120,1,216,0,4,1,bfloat16,cuda,0.5900848348935445,2.8431871161418223,
4912,4912,0,0,0,4,1,bfloat16,cuda,0.5725310385227204,2.697103758748829,
4912,5120,1,208,0,4,1,bfloat16,cuda,0.595002535978953,2.8196881501347852,
4920,4920,0,0,0,4,1,bfloat16,cuda,0.5858664294083913,2.644305121842182,
4920,5120,1,200,0,4,1,bfloat16,cuda,0.5979702989260356,2.8056938664231574,
4928,4928,0,0,0,4,1,bfloat16,cuda,0.5756143311659495,2.700161708711713,
4928,5120,1,192,0,4,1,bfloat16,cuda,0.5927589356899261,2.8303607064940492,
4936,4936,0,0,0,4,1,bfloat16,cuda,0.5813023328781128,2.6824288426293887,
4936,5120,1,184,0,4,1,bfloat16,cuda,0.5878008703390757,2.854234630568339,
4944,4944,0,0,0,4,1,bfloat16,cuda,0.5791492323080699,2.701135763861051,
4944,5120,1,176,0,4,1,bfloat16,cuda,0.5909498631954193,2.8390252786050643,
4952,4952,0,0,0,4,1,bfloat16,cuda,0.5868242283662161,2.6744421585479876,
4952,5120,1,168,0,4,1,bfloat16,cuda,0.5912962317466736,2.8373622389644773,
4960,4960,0,0,0,4,1,bfloat16,cuda,0.5804274638493856,2.7126600618756482,
